"county1","countyname1","mi_to_county","county2","countyname2"
"01001","Autauga County",22.4629943022086,"01021","Chilton County"
"01003","Baldwin County",24.4196707914188,"12033","Escambia County"
"01005","Barbour County",23.2540402214032,"13239","Quitman County"
"01005","Barbour County",24.265803995344,"01011","Bullock County"
"01009","Blount County",20.3179999953674,"01043","Cullman County"
"01009","Blount County",23.2889475047344,"01115","St. Clair County"
"01011","Bullock County",19.7615007504866,"01087","Macon County"
"01011","Bullock County",24.265803995344,"01005","Barbour County"
"01011","Bullock County",24.7380237775906,"01109","Pike County"
"01013","Butler County",21.3542073020331,"01041","Crenshaw County"
"01015","Calhoun County",18.9085178365011,"01029","Cleburne County"
"01015","Calhoun County",22.6080658514978,"01055","Etowah County"
"01015","Calhoun County",22.726115528093,"01019","Cherokee County"
"01017","Chambers County",21.8035816103321,"01081","Lee County"
"01017","Chambers County",22.5528423654088,"13285","Troup County"
"01017","Chambers County",23.9550352898759,"01123","Tallapoosa County"
"01019","Cherokee County",21.8143894536734,"01055","Etowah County"
"01019","Cherokee County",22.726115528093,"01015","Calhoun County"
"01021","Chilton County",22.4629943022086,"01001","Autauga County"
"01027","Clay County",19.4243319609385,"01121","Talladega County"
"01027","Clay County",23.072872966764,"01111","Randolph County"
"01029","Cleburne County",18.9085178365011,"01015","Calhoun County"
"01029","Cleburne County",19.0212730325183,"13143","Haralson County"
"01031","Coffee County",22.4764920417836,"01045","Dale County"
"01031","Coffee County",23.6115923225351,"01061","Geneva County"
"01033","Colbert County",16.3019794168968,"01077","Lauderdale County"
"01033","Colbert County",18.1946782565141,"01059","Franklin County"
"01033","Colbert County",24.7972078065296,"28141","Tishomingo County"
"01035","Conecuh County",23.6032567563357,"01053","Escambia County"
"01037","Coosa County",23.8224179254327,"01051","Elmore County"
"01041","Crenshaw County",21.3542073020331,"01013","Butler County"
"01041","Crenshaw County",22.6225469912079,"01109","Pike County"
"01043","Cullman County",20.3179999953674,"01009","Blount County"
"01043","Cullman County",22.3250298049966,"01103","Morgan County"
"01045","Dale County",22.4764920417836,"01031","Coffee County"
"01045","Dale County",22.5763697924097,"01067","Henry County"
"01047","Dallas County",23.5553856249603,"01105","Perry County"
"01049","DeKalb County",23.115922798286,"01071","Jackson County"
"01051","Elmore County",23.8224179254327,"01037","Coosa County"
"01053","Escambia County",23.6032567563357,"01035","Conecuh County"
"01055","Etowah County",21.8143894536734,"01019","Cherokee County"
"01055","Etowah County",22.6080658514978,"01015","Calhoun County"
"01055","Etowah County",24.4356502769024,"01095","Marshall County"
"01057","Fayette County",19.6342334028695,"01075","Lamar County"
"01059","Franklin County",18.1946782565141,"01033","Colbert County"
"01059","Franklin County",21.1045714473842,"01093","Marion County"
"01061","Geneva County",15.5360800357514,"12059","Holmes County"
"01061","Geneva County",23.6115923225351,"01031","Coffee County"
"01063","Greene County",20.8012610954668,"01065","Hale County"
"01063","Greene County",21.8918569810766,"01119","Sumter County"
"01065","Hale County",20.6950436765237,"01105","Perry County"
"01065","Hale County",20.8012610954668,"01063","Greene County"
"01067","Henry County",16.2047747141361,"13061","Clay County"
"01067","Henry County",22.5763697924097,"01045","Dale County"
"01067","Henry County",23.7383597720073,"13099","Early County"
"01071","Jackson County",23.115922798286,"01049","DeKalb County"
"01073","Jefferson County",23.698326087011,"01117","Shelby County"
"01075","Lamar County",19.6342334028695,"01057","Fayette County"
"01075","Lamar County",23.9013532925614,"28095","Monroe County"
"01077","Lauderdale County",16.3019794168968,"01033","Colbert County"
"01081","Lee County",21.8035816103321,"01017","Chambers County"
"01081","Lee County",23.7740187153545,"01113","Russell County"
"01081","Lee County",24.8412205628477,"01087","Macon County"
